Date,Price,Open,High,Low,Vol.,Change %,Close
01/03/2022,4786.0,4771.0,4791.25,4747.5,1320000.0,0.0058,4773.75
12/31/2021,4758.5,4773.75,4778.5,4750.5,95408000.0,-0.0029,4784.75
12/30/2021,4772.25,4784.75,4799.75,4767.25,75394000.0,-0.0026,4781.0
12/29/2021,4784.5,4781.0,4796.0,4770.0,87603000.0,0.0013,4780.5
12/28/2021,4778.5,4780.5,4798.0,4770.5,95452000.0,-0.0008,4717.0
12/27/2021,4782.25,4717.0,4784.25,4713.25,89870000.0,0.0141,4689.0
12/23/2021,4715.75,4689.0,4731.25,4684.25,97802000.0,0.0063,4641.75
12/22/2021,4686.0,4641.75,4690.5,4622.25,1100000.0,0.0098,4567.75
12/21/2021,4640.75,4567.75,4643.0,4565.75,1490000.0,0.018000000000000002,4612.0
12/20/2021,4558.5,4612.0,4621.5,4520.25,2100000.0,-0.0168,4674.25
12/17/2021,4636.46,4674.25,4677.75,4629.5,3479000.0,-0.0069,4711.5
12/16/2021,4668.75,4711.5,4752.5,4651.25,43599000.0,-0.0087,4637.75
12/15/2021,4709.5,4637.75,4715.0,4611.25,67319000.0,0.015600000000000001,4672.0
12/14/2021,4637.0,4672.0,4686.0,4606.0,1210000.0,-0.0068000000000000005,4711.25
12/13/2021,4668.75,4711.25,4731.0,4664.75,1610000.0,-0.009000000000000001,4669.25
12/10/2021,4711.0,4669.25,4712.75,4664.25,1590000.0,0.009399999999999999,4697.25
12/09/2021,4667.0,4697.25,4706.0,4662.25,1590000.0,-0.0068000000000000005,4695.25
12/08/2021,4699.0,4695.25,4712.0,4671.75,1420000.0,0.003,4594.25
12/07/2021,4685.0,4594.25,4697.25,4587.25,1770000.0,0.0207,4542.25
12/06/2021,4590.0,4542.25,4611.75,4531.5,2029999.9999999998,0.0125,4587.25
12/03/2021,4537.5,4587.25,4606.5,4492.0,2750000.0,-0.0084,4514.75
12/02/2021,4575.75,4514.75,4593.75,4505.5,2590000.0,0.0149,4587.5
12/01/2021,4508.5,4587.5,4650.75,4497.75,2670000.0,-0.0126,4657.25
11/30/2021,4566.25,4657.25,4667.5,4557.0,2850000.0,-0.0182,4589.0
11/29/2021,4651.0,4589.0,4669.75,4588.75,2009999.9999999998,0.012,4700.5
11/26/2021,4595.75,4700.5,4717.0,4577.25,2069999.9999999998,-0.0196,4699.0
11/25/2021,4687.75,4699.0,4699.5,4686.0,12244000.0,-0.0024,4686.25
11/24/2021,4699.0,4686.25,4702.25,4656.25,1410000.0,0.0022,4686.0
11/23/2021,4688.5,4686.0,4695.5,4649.0,1870000.0,0.0019,4701.0
11/22/2021,4679.75,4701.0,4740.5,4674.25,1690000.0,-0.0031,4705.25
11/19/2021,4694.5,4705.25,4723.5,4684.25,1340000.0,-0.0015,4685.25
11/18/2021,4701.5,4685.25,4706.5,4668.0,1170000.0,0.0033,4696.5
11/17/2021,4686.25,4696.5,4701.0,4679.25,1060000.0,-0.0021,4680.75
11/16/2021,4696.0,4680.75,4709.75,4670.75,1040000.0,0.0036,4684.75
11/15/2021,4679.0,4684.75,4697.5,4667.0,1050000.0,0.0002,4647.0
11/12/2021,4678.25,4647.0,4685.5,4643.75,1160000.0,0.0076,4645.0
11/11/2021,4643.0,4645.0,4661.5,4638.0,93686000.0,0.0002,4674.75
11/10/2021,4642.0,4674.75,4680.25,4625.25,1640000.0,-0.0077,4690.75
11/09/2021,4678.25,4690.75,4700.5,4663.25,1290000.0,-0.0034000000000000002,4678.5
11/08/2021,4694.0,4678.5,4707.0,4676.25,1000000.0,0.0008,4671.75
11/05/2021,4690.25,4671.75,4711.75,4667.5,1460000.0,0.0036,4651.5
11/04/2021,4673.25,4651.5,4676.25,4650.75,1170000.0,0.0045000000000000005,4621.25
11/03/2021,4652.25,4621.25,4657.0,4613.0,1070000.0,0.0062,4605.75
11/02/2021,4623.5,4605.75,4627.0,4593.25,98083000.0,0.0039000000000000003,4608.0
11/01/2021,4605.75,4608.0,4619.5,4586.5,1070000.0,0.0019,4577.0
10/29/2021,4597.0,4577.0,4603.5,4559.25,1420000.0,0.0021,4548.75
10/28/2021,4587.5,4548.75,4589.75,4545.25,1200000.0,0.0095,4563.75
10/27/2021,4544.5,4563.75,4576.75,4543.75,1260000.0,-0.0045000000000000005,4564.75
10/26/2021,4565.25,4564.75,4590.0,4560.75,1260000.0,0.0016,4528.75
